utilidad_Almacén, utilidad_Verdurería, utilidad_Panadería, utilidad_Refrigerados,clientes_Almacén, clientes_Verdurería, clientes_Panadería, clientes_Refrigerados,clientes_caja_Autoservicio, clientes_caja_Normal, clientes_caja_Preferencial, clientes_rechazados
5345424.620273, 2456426.236343, 951763.198074, 4220147.986543, 1088.000000, 853.000000, 714.000000, 785.000000, 648.000000, 375.000000, 112.000000, 0.000000
5112024.631372, 2519502.973451, 921516.415273, 4390595.956819, 1102.000000, 884.000000, 703.000000, 816.000000, 632.000000, 402.000000, 120.000000, 0.000000
5062224.094980, 2448109.542080, 898885.590424, 4099413.598072, 1058.000000, 831.000000, 674.000000, 755.000000, 646.000000, 362.000000, 106.000000, 0.000000
4949007.685901, 2223668.115247, 920071.222097, 4240827.935178, 1039.000000, 809.000000, 676.000000, 783.000000, 636.000000, 354.000000, 107.000000, 0.000000
5011352.186119, 2466246.726608, 894661.302477, 4355994.090801, 1057.000000, 842.000000, 650.000000, 808.000000, 646.000000, 341.000000, 124.000000, 0.000000
5247938.009780, 2632687.467114, 935902.659597, 4262682.795502, 1088.000000, 890.000000, 698.000000, 801.000000, 648.000000, 375.000000, 119.000000, 0.000000
5078974.513429, 2361509.034813, 874289.847664, 4243155.438330, 1055.000000, 866.000000, 650.000000, 798.000000, 638.000000, 364.000000, 120.000000, 0.000000
5178685.013510, 1971526.138320, 959408.011897, 4322348.164627, 1077.000000, 853.000000, 695.000000, 794.000000, 626.000000, 377.000000, 116.000000, 0.000000
5049010.805061, 2448914.489930, 892189.469723, 4289670.216987, 1047.000000, 826.000000, 678.000000, 803.000000, 628.000000, 361.000000, 119.000000, 0.000000
5631543.117847, 2169140.503665, 961758.967102, 4258006.041655, 1144.000000, 895.000000, 697.000000, 799.000000, 679.000000, 394.000000, 116.000000, 0.000000
4824196.255597, 2369897.819585, 878331.833966, 4045402.883457, 1028.000000, 810.000000, 648.000000, 732.000000, 628.000000, 353.000000, 113.000000, 0.000000
4746055.265036, 2258468.231097, 852239.117752, 3884264.879591, 1002.000000, 794.000000, 640.000000, 715.000000, 620.000000, 338.000000, 98.000000, 0.000000
5048153.444139, 2455712.231023, 905261.623322, 4098877.835771, 1067.000000, 842.000000, 677.000000, 785.000000, 649.000000, 358.000000, 115.000000, 0.000000
4903894.187585, 2460786.912228, 829098.596165, 4107946.502742, 1035.000000, 832.000000, 654.000000, 776.000000, 624.000000, 357.000000, 115.000000, 0.000000
5075805.130456, 2314258.216438, 876267.813909, 4074864.811032, 1019.000000, 818.000000, 639.000000, 746.000000, 617.000000, 348.000000, 109.000000, 0.000000
4857238.550055, 2368729.884942, 835271.837768, 4066511.589340, 1036.000000, 801.000000, 630.000000, 745.000000, 626.000000, 351.000000, 109.000000, 0.000000
5049314.269920, 2175632.264798, 893673.301009, 3939316.867201, 1036.000000, 815.000000, 704.000000, 730.000000, 622.000000, 356.000000, 101.000000, 0.000000
4688160.325494, 2367188.082309, 856907.081366, 4056663.135133, 991.000000, 790.000000, 624.000000, 765.000000, 611.000000, 330.000000, 107.000000, 0.000000
5033306.220128, 2296170.740605, 912293.768733, 4239298.357697, 1039.000000, 817.000000, 652.000000, 771.000000, 623.000000, 357.000000, 110.000000, 0.000000
5096508.390794, 2488413.817601, 853611.625553, 4054756.600279, 1049.000000, 842.000000, 644.000000, 768.000000, 645.000000, 359.000000, 103.000000, 0.000000
4934412.363899, 2137965.078641, 856272.664163, 4157373.547299, 1053.000000, 834.000000, 653.000000, 772.000000, 640.000000, 355.000000, 109.000000, 0.000000
5114161.565441, 2389129.472397, 913479.108181, 4138526.322532, 1027.000000, 833.000000, 668.000000, 788.000000, 616.000000, 364.000000, 112.000000, 0.000000
4799522.502374, 2357703.675795, 869883.397586, 3956116.858821, 978.000000, 798.000000, 622.000000, 732.000000, 596.000000, 323.000000, 116.000000, 0.000000
5649025.192863, 2351399.286080, 916506.403479, 4556825.957661, 1142.000000, 883.000000, 715.000000, 844.000000, 687.000000, 406.000000, 108.000000, 0.000000
4844296.186726, 2352870.904903, 829441.669449, 4127276.053830, 1016.000000, 784.000000, 667.000000, 760.000000, 615.000000, 346.000000, 111.000000, 0.000000
5292412.258684, 2326856.392573, 923181.118929, 4217275.950470, 1099.000000, 877.000000, 691.000000, 777.000000, 652.000000, 379.000000, 111.000000, 0.000000
5031265.780094, 2115799.365366, 856660.805258, 4212790.113033, 1055.000000, 844.000000, 652.000000, 769.000000, 620.000000, 381.000000, 113.000000, 0.000000
5095447.267175, 2518668.679774, 940599.927969, 4489699.079794, 1082.000000, 851.000000, 689.000000, 810.000000, 667.000000, 366.000000, 111.000000, 0.000000
5145262.642282, 2399645.186314, 893970.026520, 4108552.451848, 1045.000000, 812.000000, 672.000000, 753.000000, 619.000000, 360.000000, 115.000000, 0.000000
5313468.238547, 2183326.365788, 944904.869376, 4667706.727898, 1104.000000, 873.000000, 683.000000, 844.000000, 664.000000, 394.000000, 105.000000, 0.000000
5228554.728055, 1970371.341510, 900712.580820, 4252161.391051, 1091.000000, 862.000000, 659.000000, 794.000000, 662.000000, 375.000000, 108.000000, 0.000000
4877156.840263, 2310910.025793, 895385.671035, 3944492.786047, 1032.000000, 808.000000, 662.000000, 732.000000, 625.000000, 350.000000, 114.000000, 0.000000
5017295.245447, 2392927.354863, 896443.174595, 3989075.243698, 1035.000000, 825.000000, 662.000000, 767.000000, 641.000000, 351.000000, 105.000000, 0.000000
5167823.791314, 2247105.909947, 910880.655355, 4374965.308026, 1086.000000, 869.000000, 684.000000, 822.000000, 645.000000, 388.000000, 110.000000, 0.000000
5575352.443236, 2665515.926746, 888629.883810, 4643288.425317, 1135.000000, 912.000000, 689.000000, 867.000000, 676.000000, 411.000000, 123.000000, 0.000000
4931278.073535, 2387574.526985, 921906.197884, 4222383.202691, 1048.000000, 840.000000, 679.000000, 783.000000, 637.000000, 360.000000, 105.000000, 0.000000
4979113.122705, 2346290.515624, 899688.364158, 4193803.182543, 1057.000000, 815.000000, 668.000000, 780.000000, 622.000000, 365.000000, 112.000000, 0.000000
4935387.249924, 2388334.468159, 892896.082413, 4116864.486989, 1032.000000, 828.000000, 657.000000, 768.000000, 622.000000, 366.000000, 104.000000, 0.000000
5316366.603257, 2287470.531886, 1015185.989021, 4491641.888693, 1131.000000, 889.000000, 726.000000, 834.000000, 689.000000, 382.000000, 114.000000, 0.000000
5317270.996969, 2505399.408048, 908130.680146, 4467706.465896, 1105.000000, 866.000000, 683.000000, 830.000000, 671.000000, 377.000000, 114.000000, 0.000000
5200330.165256, 2415762.964611, 961381.474105, 4437522.163382, 1077.000000, 856.000000, 706.000000, 811.000000, 657.000000, 355.000000, 121.000000, 0.000000
5265619.143936, 2432226.810207, 900477.215875, 4375403.496563, 1085.000000, 819.000000, 676.000000, 799.000000, 654.000000, 383.000000, 106.000000, 0.000000
5144301.773646, 2355205.782554, 916892.338216, 4209786.796756, 1069.000000, 812.000000, 673.000000, 779.000000, 646.000000, 372.000000, 112.000000, 0.000000
5139935.215868, 2474315.215834, 978105.777076, 4432807.300934, 1055.000000, 833.000000, 686.000000, 800.000000, 649.000000, 369.000000, 105.000000, 0.000000
5089706.266683, 2439114.632259, 906127.123777, 4132585.505564, 1050.000000, 841.000000, 667.000000, 780.000000, 647.000000, 354.000000, 103.000000, 0.000000
4922163.223010, 2205963.383254, 880793.118048, 4090265.473064, 1048.000000, 830.000000, 665.000000, 753.000000, 636.000000, 362.000000, 107.000000, 0.000000
4976553.074156, 2410003.693065, 887521.825277, 4324432.649042, 1070.000000, 820.000000, 666.000000, 802.000000, 643.000000, 367.000000, 109.000000, 0.000000
5163772.185425, 2041734.817809, 821392.521490, 4381826.252091, 1082.000000, 850.000000, 685.000000, 805.000000, 654.000000, 369.000000, 108.000000, 0.000000
5231304.540681, 2424336.344117, 882203.272991, 4311546.807654, 1061.000000, 847.000000, 686.000000, 781.000000, 660.000000, 357.000000, 113.000000, 0.000000
4972331.133091, 2337016.750586, 834956.577663, 4094796.584353, 1026.000000, 825.000000, 631.000000, 755.000000, 624.000000, 338.000000, 114.000000, 0.000000
5112516.140868, 2384618.842357, 869522.928592, 4264483.886166, 1064.000000, 829.000000, 647.000000, 788.000000, 644.000000, 374.000000, 109.000000, 0.000000
5343293.280761, 2411150.177006, 914620.654077, 4564620.691938, 1121.000000, 884.000000, 700.000000, 829.000000, 675.000000, 389.000000, 123.000000, 0.000000
4913745.954207, 2420813.619985, 894546.584475, 4238502.169017, 1063.000000, 828.000000, 655.000000, 787.000000, 641.000000, 373.000000, 111.000000, 0.000000
5190087.363587, 2393235.874007, 922522.468539, 4109157.909144, 1065.000000, 823.000000, 697.000000, 775.000000, 628.000000, 376.000000, 111.000000, 0.000000
5037733.038019, 2421453.998778, 869376.022865, 4282207.225378, 1056.000000, 823.000000, 650.000000, 784.000000, 643.000000, 375.000000, 105.000000, 0.000000
5205609.768206, 2428766.649794, 979633.919723, 4324340.107434, 1110.000000, 857.000000, 710.000000, 799.000000, 650.000000, 383.000000, 131.000000, 0.000000
5127898.319755, 2159224.239292, 946378.936493, 4304745.775083, 1078.000000, 864.000000, 706.000000, 800.000000, 657.000000, 366.000000, 117.000000, 0.000000
5219691.212800, 2232856.848324, 953168.218988, 4034929.021693, 1065.000000, 834.000000, 681.000000, 761.000000, 626.000000, 352.000000, 125.000000, 0.000000
5559380.006691, 2301876.067300, 916347.585429, 4523130.536785, 1111.000000, 877.000000, 715.000000, 823.000000, 645.000000, 395.000000, 127.000000, 0.000000
5132493.169818, 2352600.346508, 940899.108183, 4308623.441574, 1061.000000, 824.000000, 658.000000, 787.000000, 633.000000, 368.000000, 120.000000, 0.000000
5011434.251232, 2079444.556909, 882907.342982, 4020656.967009, 1035.000000, 796.000000, 653.000000, 741.000000, 628.000000, 340.000000, 112.000000, 0.000000
5245196.939016, 2464510.391752, 853419.718251, 4230701.260609, 1080.000000, 835.000000, 673.000000, 784.000000, 630.000000, 382.000000, 111.000000, 0.000000
4869743.601788, 2288730.226036, 855016.914571, 4180501.861281, 1039.000000, 837.000000, 660.000000, 768.000000, 624.000000, 360.000000, 108.000000, 0.000000
4973583.428540, 2405288.429379, 850890.223508, 4186812.898982, 1050.000000, 828.000000, 633.000000, 799.000000, 616.000000, 387.000000, 113.000000, 0.000000
5202700.527857, 2532981.981367, 987048.945531, 4403465.409443, 1096.000000, 870.000000, 708.000000, 798.000000, 649.000000, 380.000000, 121.000000, 0.000000
5084794.403636, 2318654.187071, 918592.495537, 4101501.977227, 1036.000000, 813.000000, 684.000000, 771.000000, 616.000000, 358.000000, 122.000000, 0.000000
4668342.306669, 2010957.711904, 847443.380548, 3808203.848528, 1000.000000, 797.000000, 637.000000, 725.000000, 631.000000, 317.000000, 103.000000, 0.000000
4946370.965565, 2313860.330766, 862176.253530, 4076350.722395, 1028.000000, 786.000000, 642.000000, 760.000000, 615.000000, 339.000000, 111.000000, 0.000000
5012919.488199, 2426153.484103, 872065.504776, 4078285.695873, 1050.000000, 836.000000, 668.000000, 788.000000, 647.000000, 358.000000, 100.000000, 0.000000
5262470.353925, 2520026.330810, 930456.842300, 4238859.350787, 1087.000000, 882.000000, 707.000000, 798.000000, 658.000000, 373.000000, 115.000000, 0.000000
4843026.381586, 2232336.387750, 853849.865979, 3933395.770614, 1024.000000, 792.000000, 625.000000, 745.000000, 606.000000, 359.000000, 105.000000, 0.000000
4918724.794848, 2394991.816053, 901468.339145, 4297056.405512, 1038.000000, 820.000000, 650.000000, 799.000000, 622.000000, 370.000000, 105.000000, 0.000000
5215691.154085, 2379113.347880, 939274.196279, 4190272.968392, 1073.000000, 827.000000, 684.000000, 778.000000, 646.000000, 358.000000, 118.000000, 0.000000
4430521.407150, 2264258.392041, 808897.187883, 3673681.496894, 950.000000, 754.000000, 611.000000, 690.000000, 573.000000, 327.000000, 99.000000, 0.000000
5202669.764977, 2365779.899271, 903312.169000, 4264182.059429, 1081.000000, 888.000000, 670.000000, 774.000000, 638.000000, 385.000000, 112.000000, 0.000000
4864793.957402, 2433260.545528, 880441.117451, 4157366.284473, 1040.000000, 825.000000, 651.000000, 762.000000, 634.000000, 354.000000, 107.000000, 0.000000
5041125.239336, 2371023.970486, 849850.126232, 4124738.443381, 1047.000000, 805.000000, 657.000000, 771.000000, 630.000000, 352.000000, 115.000000, 0.000000
