utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
12533812.041233, 8426.084550, 863.445323, 629.466679, 2038.631904, 0.000000, 0.116598, 0.098688, 0.019879, 0.316151, 0.306162, 4.157835, 9.103609, 9.632419, 46.344484, 45.972546
12470089.976914, 8709.320987, 1042.148821, 753.758206, 2338.233038, 0.000000, 1.730819, 0.074585, 0.045339, 0.285945, 0.265788, 3.221929, 6.500522, 7.038095, 45.991528, 42.878422
12058182.825556, 8147.265387, 1093.858807, 777.963986, 2393.287930, 0.017213, 0.173129, 0.048895, 0.087085, 0.353192, 0.280415, 3.187485, 7.708156, 8.551881, 44.595790, 45.398256
11889424.958423, 8561.681683, 986.879697, 777.894056, 2480.916083, 0.000000, 0.205306, 0.039220, 0.229575, 0.232035, 0.199191, 2.188331, 5.030054, 6.113491, 42.752268, 43.809889
12289354.306005, 8705.211361, 1106.775576, 596.588561, 2060.887653, 0.000143, 1.026606, 0.012436, 0.009473, 0.256608, 0.188976, 2.640976, 6.838717, 6.022825, 44.717981, 45.071444
12611960.931993, 7399.491723, 1078.607038, 742.016719, 2260.141045, 0.015301, 0.541113, 0.053592, 0.485988, 0.310453, 0.202484, 2.869799, 6.865919, 7.014720, 45.893218, 43.393361
12112728.834236, 8493.324197, 931.498543, 765.588774, 2507.494023, 0.000000, 0.381400, 0.028281, 0.099179, 0.261487, 0.177734, 2.725837, 6.098814, 6.071140, 44.208691, 40.722042
11965767.328354, 8885.279803, 836.263441, 826.541769, 2415.952753, 0.011702, 0.209545, 0.511024, 0.043066, 0.276655, 0.391354, 3.801025, 8.080402, 8.882111, 45.874306, 45.378702
12233534.981701, 9001.519413, 951.118017, 692.107598, 2389.497182, 0.000000, 0.249162, 0.312719, 0.090187, 0.264186, 0.274790, 4.761280, 10.039336, 9.697047, 47.257181, 44.893593
12551098.630269, 8137.902220, 788.281743, 703.546599, 2228.275273, 0.076817, 0.497934, 0.095633, 0.342268, 0.174792, 0.285408, 6.760847, 14.064087, 16.812953, 50.438509, 42.667677
